Algorithme : Naive
Le temps d'attente moyen : 35.29759275978782 s
Ecart type : 50.44775649248669 s
Le pire cas : 143.25600024414064 s

Task    Type    Calculation_size(gflo)    Memory_size(MB)    Time_waing    Time_Execution    Time_total    Time_arrival
No.205  C       16.0                      200.0              7.82s         0.81s             8.63s         10.15s 
No.206  D       5.0                       69.0               5.10s         0.25s             5.35s         10.15s 
No.207  D       13.0                      180.0              134.55s       1.94s             136.49s       10.15s 
No.208  B       7.0                       142.0              7.95s         0.46s             8.41s         10.15s 
No.209  A       9.0                       18.0               5.80s         0.45s             6.25s         10.15s 
No.210  A       17.0                      158.0              10.79s        0.86s             11.65s        10.15s 
No.211  B       2.0                       79.0               9.80s         0.12s             9.92s         10.15s 
No.212  B       8.0                       184.0              8.86s         0.54s             9.40s         10.15s 
No.213  B       11.0                      17.0               122.01s       1.73s             123.74s       10.15s 
No.214  A       2.0                       131.0              1.68s         0.11s             1.79s         10.15s 
No.215  E       10.0                      166.0              113.94s       1.55s             115.49s       10.15s 
No.216  E       5.0                       271.0              3.81s         0.25s             4.06s         10.65s 
No.217  D       7.0                       98.0               88.33s        1.09s             89.42s        10.65s 
No.218  A       14.0                      202.0              11.69s        0.87s             12.56s        10.65s 
No.219  C       8.0                       270.0              5.58s         0.40s             5.98s         10.65s 
No.220  D       3.0                       7.0                3.53s         0.16s             3.69s         10.65s 
No.221  E       20.0                      207.0              7.88s         1.00s             8.88s         10.65s 
No.222  B       7.0                       125.0              88.34s        1.09s             89.43s        10.65s 
No.223  A       17.0                      11.0               12.32s        1.02s             13.34s        10.65s 
No.224  E       16.0                      186.0              7.47s         0.81s             8.28s         10.65s 
No.225  D       14.0                      158.0              136.25s       2.01s             138.26s       11.15s 
No.226  C       18.0                      184.0              7.35s         0.91s             8.26s         11.15s 
No.227  A       16.0                      104.0              9.82s         0.81s             10.63s        11.15s 
No.228  A       1.0                       9.0                1.02s         0.05s             1.07s         11.15s 
No.230  E       4.0                       64.0               3.16s         0.20s             3.36s         11.15s 
No.231  E       11.0                      146.0              122.65s       1.77s             124.42s       11.65s 
No.232  A       18.0                      111.0              11.72s        1.06s             12.78s        11.65s 
No.233  B       15.0                      213.0              136.85s       2.04s             138.89s       11.65s 
No.234  B       7.0                       161.0              8.36s         0.50s             8.86s         11.65s 
No.235  D       7.0                       176.0              5.90s         0.35s             6.25s         11.65s 
No.236  E       4.0                       56.0               3.00s         0.20s             3.20s         11.65s 
No.237  B       6.0                       237.0              82.49s        1.00s             83.49s        11.65s 
No.238  B       7.0                       285.0              8.47s         0.51s             8.98s         11.65s 
No.239  D       19.0                      94.0               9.80s         0.95s             10.75s        11.65s 
No.240  B       14.0                      227.0              135.72s       2.01s             137.73s       12.15s 
No.241  A       2.0                       148.0              2.16s         0.12s             2.28s         12.15s 
No.242  D       2.0                       103.0              2.46s         0.11s             2.57s         12.15s 
No.243  A       19.0                      171.0              6.48s         0.95s             7.43s         12.15s 
No.244  B       13.0                      283.0              134.82s       1.98s             136.80s       12.15s 
No.245  B       18.0                      87.0               11.26s        1.07s             12.33s        12.15s 
No.246  B       11.0                      218.0              124.56s       1.79s             126.35s       12.15s 
No.248  B       10.0                      82.0               9.88s         0.67s             10.55s        12.15s 
No.250  A       17.0                      83.0               11.25s        1.02s             12.27s        12.15s 
No.251  B       13.0                      282.0              134.53s       1.97s             136.50s       12.65s 
No.252  C       8.0                       168.0              4.78s         0.40s             5.18s         12.65s 
No.253  D       18.0                      89.0               8.88s         0.91s             9.79s         12.65s 
No.254  D       13.0                      152.0              134.55s       1.97s             136.52s       12.65s 
No.255  C       3.0                       167.0              2.58s         0.16s             2.74s         12.65s 
No.256  B       3.0                       164.0              32.84s        0.34s             33.18s        12.65s 
No.257  B       17.0                      221.0              136.44s       2.07s             138.51s       12.65s 
No.258  B       3.0                       207.0              3.85s         0.21s             4.06s         12.65s 
No.259  A       8.0                       151.0              4.79s         0.40s             5.19s         12.65s 
No.260  B       12.0                      9.0                132.48s       1.91s             134.39s       12.65s 
No.261  E       10.0                      38.0               119.51s       1.69s             121.20s       13.15s 
No.262  C       19.0                      159.0              5.57s         0.95s             6.52s         13.15s 
No.263  E       7.0                       31.0               3.62s         0.35s             3.97s         13.15s 
No.265  A       15.0                      299.0              10.18s        0.91s             11.09s        13.15s 
No.266  D       20.0                      96.0               8.39s         1.00s             9.39s         13.15s 
No.267  A       3.0                       33.0               2.15s         0.16s             2.31s         13.15s 
No.268  A       17.0                      221.0              136.04s       2.07s             138.11s       13.15s 
No.269  E       17.0                      26.0               135.60s       2.07s             137.67s       13.65s 
No.270  C       6.0                       135.0              3.68s         0.31s             3.99s         13.65s 
No.272  E       16.0                      290.0              135.66s       2.05s             137.71s       13.65s 
No.273  E       2.0                       44.0               20.78s        0.20s             20.98s        13.65s 
No.275  D       1.0                       72.0               8.28s         0.08s             8.36s         13.65s 
No.276  E       2.0                       123.0              20.83s        0.21s             21.04s        13.65s 
No.277  E       17.0                      200.0              5.09s         0.86s             5.95s         13.65s 
No.278  D       9.0                       199.0              114.21s       1.58s             115.79s       13.65s 
No.279  C       1.0                       189.0              8.36s         0.09s             8.45s         13.65s 
No.281  C       16.0                      197.0              4.63s         0.81s             5.44s         14.15s 
No.282  B       6.0                       272.0              87.90s        1.11s             89.01s        14.15s 
